player,nationality,age,league,market_value_eur,score_contrib_per90,cards_2019_20,avg_match_rating,injury_days_total,married
Larra,ESP,21,La Liga,2000000,0.0,0,5.53,,
Gleison Bremer,BRA,22,Serie A,5000000,0.16,8,6.75,,
Julian Baumgartlinger,AUT,31,Bundesliga,2000000,0.2,4,6.5,,
Antonio AdĂˇn,ESP,32,La Liga,80000,0.0,0,6.51,,
Fabio Depaoli,ITA,22,Serie A,4000000,0.05,7,6.73,,
Melvin Bard,FRA,18,Ligue 1,4500000,0.0,0,6.62,,
Amir Abrashi,ALB,29,Bundesliga,1000000,0.0,3,6.16,,
Pablo Sarabia,ESP,27,Ligue 1,28000000,0.54,1,6.57,,
Valon Behrami,SUI,34,Serie A,47500,0.0,5,6.54,,
Ciprian TÄtÄruČ™anu,ROU,33,Ligue 1,700000,0.0,0,6.31,,
Scott Dann,ENG,32,Premier League,2000000,0.07,0,6.09,,
Sami Ben Amar,MAR,21,Ligue 1,35000,0.0,0,6.1,,
Matis Carvalho,POR,20,Ligue 1,15000,0.0,0,6.25,,
Liam Henderson,SCO,23,Serie A,1000000,0.0,1,6.39,,
Mattia Bani,ITA,25,Serie A,2000000,0.16,14,6.72,,
Goran Pandev,MKD,36,Serie A,32500,0.53,7,6.59,,
Breel Embolo,SUI,22,Bundesliga,13000000,0.75,4,6.55,,
Edmond Tapsoba,BFA,20,Bundesliga,18000000,0.0,2,6.6,,
JĂĽrgen Locadia,NED,25,Bundesliga,8000000,0.68,1,6.78,,
GrĂ©goire Defrel,MTQ,28,Serie A,9000000,0.56,1,9.0,,
Martin DĂşbravka,SVK,30,Premier League,5000000,0.0,0,6.23,,
Leonardo Pavoletti,ITA,30,Serie A,4000000,0.0,0,6.5,,
Jens Stryger Larsen,DEN,28,Serie A,2000000,0.13,5,6.82,,
Giacomo Raspadori,ITA,19,Serie A,62500,0.68,0,6.06,,
Arnaud Lusamba,FRA,22,Ligue 1,2000000,0.27,1,6.88,,
David Martin,ENG,33,Premier League,25000,0.0,1,7.17,,
Allan,BRA,28,Serie A,25000000,0.21,3,6.28,,
Elie Youan,FRA,20,Ligue 1,725,0.0,0,6.93,,
Janis Antiste,FRA,16,Ligue 1,1000000,0.0,0,6.18,,
Waldo Rubio,ESP,23,La Liga,80000,0.21,6,6.58,,
Marcos Rojo,ARG,29,Premier League,8000000,0.0,1,6.79,,
IĂ±igo CĂłrdoba,ESP,22,La Liga,3000000,0.31,4,6.04,,
Tiago DjalĂł,POR,19,Ligue 1,4000000,0.0,1,6.21,,
Karol Linetty,POL,24,Serie A,11000000,0.31,4,6.4,,
Nolito,ESP,32,La Liga,1500000,0.3,0,5.55,,
Nicolas LemaĂ®tre,FRA,22,Ligue 1,32500,0.0,0,6.32,,
Ashley Barnes,ENG,29,Premier League,8000000,0.4,4,6.84,,
Emre Can,GER,25,Bundesliga,26000000,0.19,5,6.62,,
Diego Costa,ESP,30,La Liga,14000000,0.6000000000000001,5,6.49,,
Alessandro Semprini,ITA,21,Serie A,20000,0.14,2,6.4,,
Antoine Valerio,FRA,19,Ligue 1,200000,0.0,0,6.34,,
NicolĂ˛ Zaniolo,ITA,20,Serie A,45000000,0.48,8,6.62,,
Javier HernĂˇndez,MEX,31,La Liga,3000000,0.2,0,6.63,,
JĂ©rĂ©my GĂ©lin,FRA,22,Ligue 1,4000000,0.0,1,6.24,,
Kyle Walker,ENG,29,Premier League,40000000,0.19,5,6.13,,
Mikel Merino,ESP,23,La Liga,24000000,0.17,9,6.65,,
Walter BenĂ­tez,ARG,26,Ligue 1,8000000,0.0,0,6.76,,
Adama Soumaoro,FRA,27,Serie A,8000000,0.14,2,6.23,,
Haris Belkebla,ALG,25,Ligue 1,1000000,0.0,4,6.5,,
Gerard Moreno,ESP,27,La Liga,16000000,0.75,5,6.75,,
