player,nationality,age,league,market_value_eur,score_contrib_per90,cards_2019_20,avg_match_rating,injury_days_total,married
BenoĂ®t Mukinayi,FRA,18,Ligue 1,25000000,0.0,0,,,
MartĂ­n CĂˇceres,URU,32,Serie A,1000000,0.04,11,,,
Gil BastiĂŁo Dias,POR,22,Ligue 1,3200000,0.0,3,,,
Jonathan Bamba,FRA,23,Ligue 1,16000000,0.24,1,,,
Dries Mertens,BEL,32,Serie A,20000000,0.85,5,,,
Christian Clemens,GER,27,Bundesliga,1000000,0.0,0,,,
Marcelo,BRA,31,La Liga,12000000,0.21000000000000002,2,,,
Dan-Axel Zagadou,FRA,20,Bundesliga,31000000,0.18,1,,,
Eddy Salcedo,ITA,17,Serie A,10000000,0.13,0,,,
Larra,ESP,21,La Liga,2000000,0.0,0,,,
Gleison Bremer,BRA,22,Serie A,5000000,0.16,8,,,
Julian Baumgartlinger,AUT,31,Bundesliga,2000000,0.2,4,,,
Antonio AdĂˇn,ESP,32,La Liga,80000,0.0,0,,,
Fabio Depaoli,ITA,22,Serie A,4000000,0.05,7,,,
Melvin Bard,FRA,18,Ligue 1,4500000,0.0,0,,,
Amir Abrashi,ALB,29,Bundesliga,1000000,0.0,3,,,
Pablo Sarabia,ESP,27,Ligue 1,28000000,0.54,1,,,
Valon Behrami,SUI,34,Serie A,47500,0.0,5,,,
Ciprian TÄtÄruČ™anu,ROU,33,Ligue 1,700000,0.0,0,,,
Scott Dann,ENG,32,Premier League,2000000,0.07,0,,,
Sami Ben Amar,MAR,21,Ligue 1,35000,0.0,0,,,
Matis Carvalho,POR,20,Ligue 1,15000,0.0,0,,,
Liam Henderson,SCO,23,Serie A,1000000,0.0,1,,,
Mattia Bani,ITA,25,Serie A,2000000,0.16,14,,,
Goran Pandev,MKD,36,Serie A,32500,0.53,7,,,
Breel Embolo,SUI,22,Bundesliga,13000000,0.75,4,,,
Edmond Tapsoba,BFA,20,Bundesliga,18000000,0.0,2,,,
JĂĽrgen Locadia,NED,25,Bundesliga,8000000,0.68,1,,,
GrĂ©goire Defrel,MTQ,28,Serie A,9000000,0.56,1,,,
Martin DĂşbravka,SVK,30,Premier League,5000000,0.0,0,,,
Leonardo Pavoletti,ITA,30,Serie A,4000000,0.0,0,,,
Jens Stryger Larsen,DEN,28,Serie A,2000000,0.13,5,,,
Giacomo Raspadori,ITA,19,Serie A,62500,0.68,0,,,
Arnaud Lusamba,FRA,22,Ligue 1,2000000,0.27,1,,,
David Martin,ENG,33,Premier League,25000,0.0,1,,,
Allan,BRA,28,Serie A,25000000,0.21000000000000002,3,,,
Elie Youan,FRA,20,Ligue 1,725,0.0,0,,,
Janis Antiste,FRA,16,Ligue 1,1000000,0.0,0,,,
Waldo Rubio,ESP,23,La Liga,80000,0.21,6,,,
Marcos Rojo,ARG,29,Premier League,8000000,0.0,1,,,
IĂ±igo CĂłrdoba,ESP,22,La Liga,3000000,0.31,4,,,
Tiago DjalĂł,POR,19,Ligue 1,4000000,0.0,1,,,
Karol Linetty,POL,24,Serie A,11000000,0.31,4,,,
Nolito,ESP,32,La Liga,1500000,0.3,0,,,
Nicolas LemaĂ®tre,FRA,22,Ligue 1,32500,0.0,0,,,
Ashley Barnes,ENG,29,Premier League,8000000,0.4,4,,,
Emre Can,GER,25,Bundesliga,26000000,0.19,5,,,
Diego Costa,ESP,30,La Liga,14000000,0.6000000000000001,5,,,
Alessandro Semprini,ITA,21,Serie A,20000,0.14,2,,,
Antoine Valerio,FRA,19,Ligue 1,200000,0.0,0,,,
NicolĂ˛ Zaniolo,ITA,20,Serie A,45000000,0.48,8,,,
Javier HernĂˇndez,MEX,31,La Liga,3000000,0.2,0,,,
JĂ©rĂ©my GĂ©lin,FRA,22,Ligue 1,4000000,0.0,1,,,
Kyle Walker,ENG,29,Premier League,40000000,0.19,5,,,
Mikel Merino,ESP,23,La Liga,24000000,0.17,9,,,
Walter BenĂ­tez,ARG,26,Ligue 1,8000000,0.0,0,,,
Adama Soumaoro,FRA,27,Serie A,8000000,0.14,2,,,
Haris Belkebla,ALG,25,Ligue 1,1000000,0.0,4,,,
Gerard Moreno,ESP,27,La Liga,16000000,0.75,5,,,
Wendell,BRA,26,Bundesliga,7500000,0.09,7,,,
Yevgen Shakhov,UKR,28,Serie A,1500000,0.25,3,,,
Albert Lottin,FRA,17,Ligue 1,45000,0.0,0,,,
Henrikh Mkhitaryan,ARM,30,Premier League,20000000,0.0,1,,,
Lorenzo Andrenacci,ITA,24,Serie A,10000,0.0,0,,,
Juan PĂ©rez,ESP,23,La Liga,40000,0.0,0,,,
Roland Sallai,HUN,22,Bundesliga,3000000,0.15,2,,,
Kevin Lasagna,ITA,26,Serie A,5000000,0.38999999999999996,1,,,
Joel Pohjanpalo,FIN,24,Bundesliga,80000,0.0,0,,,
Guilherme Arana,BRA,22,Serie A,2000000,0.0,0,,,
Nikolas Ĺ palek,SVK,22,Serie A,2000000,0.16999999999999998,5,,,
Giangiacomo Magnani,ITA,23,Serie A,3000000,0.0,2,,,
Samuel Fridjonsson,ISL,23,Bundesliga,400,0.0,1,,,
Jasper Cillessen,NED,30,La Liga,14000000,0.04,1,,,
Domenico Berardi,ITA,24,Serie A,19000000,0.87,7,,,
Memphis Depay,NED,25,Ligue 1,44000000,0.98,0,,,
Biagio Meccariello,ITA,28,Serie A,55000,0.12,2,,,
Chris Mepham,WAL,21,Premier League,8000000,0.1,1,,,
Adama TraorĂ©,MLI,24,Ligue 1,25000000,0.44999999999999996,1,,,
Igor,BRA,21,Serie A,5000000,0.07,7,,,
Moussa WaguĂ©,SEN,20,La Liga,6000000,0.0,0,,,
Andreas Luthe,GER,32,Bundesliga,40000,0.0,0,,,
Alberto Paloschi,ITA,29,Serie A,1000000,0.0,0,,,
Kingsley Ehizibue,NED,24,Bundesliga,2000000,0.08,7,,,
Ă“scar de Marcos,ESP,30,La Liga,3000000,0.17,1,,,
Gerzino Nyamsi,FRA,22,Ligue 1,1000000,0.0,0,,,
Lamine KonĂ©,CIV,30,Ligue 1,2000000,0.06,4,,,
JoaquĂ­n FernĂˇndez,ESP,23,La Liga,2000000,0.11,9,,,
Philipp Bargfrede,GER,30,Bundesliga,1000000,0.0,4,,,
JoĂ«l Matip,CMR,27,Premier League,32000000,0.13,0,,,
Kenedy,BRA,23,La Liga,10000000,0.61,2,,,
Jadon Sancho,ENG,19,Bundesliga,117000000,1.3,2,,,
Stefano Okaka,ITA,29,Serie A,3000000,0.37,10,,,
Joshua Kimmich,GER,24,Bundesliga,64000000,0.35,7,,,
Nianzou Kouassi,FRA,17,Ligue 1,11000000,0.4,1,,,
Can Bozdogan,GER,18,Bundesliga,2500000,0.0,3,,,
Moritz Leitner,GER,26,Premier League,2000000,0.0,1,,,
Hannes Wolf,AUT,20,Bundesliga,11000000,0.0,0,,,
Manuel SĂˇnchez,ESP,18,La Liga,8000000,0.0,1,,,
Eric GarcĂ­a,ESP,18,Premier League,6000000,0.0,1,,,
Fabio Borini,ITA,28,Serie A,4000000,0.33,2,,,
Fran MĂ©rida,ESP,29,La Liga,1000000,0.08,10,,,
Kalifa Coulibaly,MLI,27,Ligue 1,4000000,0.22,1,,,
Tariq Lamptey,ENG,18,Premier League,3000000,0.15,2,,,
Niclas Thiede,GER,20,Bundesliga,20000,0.0,0,,,
Nacho,ESP,30,La Liga,2500000,0.1,2,,,
Rafael,BRA,29,Ligue 1,5000000,0.0,3,,,
Ravel Morrison,JAM,26,Premier League,60000,0.0,0,,,
Ronald AraĂşjo,URU,20,La Liga,4000000,0.0,1,,,
Fabio Quagliarella,ITA,36,Serie A,1000000,0.56,2,,,
Riccardo Saponara,ITA,27,Serie A,2000000,0.5700000000000001,2,,,
Carles AleĂ±Ăˇ,ESP,21,La Liga,18000000,0.12,1,,,
Kevin VĂˇzquez,ESP,26,La Liga,80000,0.0,6,,,
Patrick Cutrone,ITA,21,Serie A,15000000,0.54,1,,,
Ryan Bertrand,ENG,29,Premier League,10000000,0.06,4,,,
Juan Musso,ARG,25,Serie A,12000000,0.0,1,,,
Yacine Adli,FRA,19,Ligue 1,6000000,0.52,3,,,
Giangiacomo Magnani,ITA,23,Serie A,3000000,0.62,1,,,
Marco Reus,GER,30,Bundesliga,32000000,0.96,1,,,
Anthony Caci,FRA,22,Ligue 1,3000000,0.65,0,,,
Cristiano Ronaldo,POR,34,Serie A,60000000,1.1099999999999999,3,,,
Nico Elvedi,SUI,22,Bundesliga,28000000,0.03,5,,,
Lucas Torreira,URU,23,Premier League,36000000,0.12,7,,,
Myziane Maolida,FRA,20,Ligue 1,7000000,0.4,0,,,
Lovre KaliniÄ‡,CRO,29,Ligue 1,2800000,0.0,0,,,
Matteo Lovato,ITA,19,Serie A,15000,0.0,0,,,
Luke Freeman,ENG,27,Premier League,2000000,0.0,2,,,
Salvatore Sirigu,ITA,32,Serie A,6000000,0.0,4,,,
Mahdi Camara,FRA,21,Ligue 1,1000000,0.0,3,,,
Iago,BRA,22,Bundesliga,6500000,0.26,0,,,
Stephan Lichtsteiner,SUI,35,Bundesliga,80000,0.07,6,,,
Dimitri Bisoli,ITA,25,Serie A,2000000,0.08,6,,,
Valter Birsa,SVN,32,Serie A,1000000,0.0,1,,,
BjĂ¶rn Engels,BEL,24,Premier League,9000000,0.06,1,,,
Nicholas Opoku,GHA,21,Ligue 1,80000,0.0,1,,,
Daniel Brosinski,GER,31,Bundesliga,2000000,0.32,3,,,
Richairo Ĺ˝ivkoviÄ‡,NED,22,Premier League,650,0.0,0,,,
Emre Can,GER,25,Serie A,26000000,0.0,2,,,
Okay YokuĹźlu,TUR,25,La Liga,6000000,0.09,6,,,
Nuri Ĺžahin,TUR,30,Bundesliga,1200000,0.22,6,,,
Iago Falque,ESP,29,Serie A,6000000,0.0,0,,,
Simone Pinna,ITA,21,Serie A,20000,0.0,1,,,
JosĂ© Luis Morales,ESP,32,La Liga,6000000,0.21000000000000002,3,,,
Dedryck Boyata,BEL,28,Bundesliga,8000000,0.19,9,,,
Alessandro Florenzi,ITA,28,Serie A,16000000,0.09,5,,,
Jakub Jankto,CZE,23,Serie A,9000000,0.26,8,,,
Davinson SĂˇnchez,COL,23,Premier League,48000000,0.0,6,,,
Mounir Chouiar,FRA,20,Ligue 1,7000000,0.24,5,,,
Jerry St. Juste,NED,22,Bundesliga,7000000,0.18,7,,,
Kieran Trippier,ENG,28,La Liga,28000000,0.18,2,,,
Pau Torres,ESP,22,La Liga,16000000,0.09,6,,,
Marco Benassi,ITA,24,Serie A,11000000,0.18,1,,,
Willian JosĂ©,BRA,27,La Liga,24000000,0.53,4,,,
Alexandre Oukidja,ALG,31,Ligue 1,1000000,0.0,3,,,
Pietro Terracciano,ITA,29,Serie A,40000,0.0,0,,,
Marlon,BRA,23,Serie A,6500000,0.0,8,,,
Kevin-Prince Boateng,GHA,32,Serie A,3000000,0.15,2,,,
Sergio CĂłrdova,VEN,21,Bundesliga,1000000,0.74,0,,,
Loren MorĂłn,ESP,25,La Liga,16000000,0.5700000000000001,3,,,
RubĂ©n Alcaraz,ESP,28,La Liga,8000000,0.18,10,,,
Davide Riccardi,ITA,23,Serie A,15000,0.0,0,,,
Harry Maguire,ENG,26,Premier League,56000000,0.06,6,,,
NicolĂˇs Otamendi,ARG,31,Premier League,14000000,0.1,3,,,
Sergio Postigo,ESP,30,La Liga,1000000,0.08,6,,,
Alfred Duncan,GHA,26,Serie A,13000000,0.2,2,,,
Toby Alderweireld,BEL,30,Premier League,24000000,0.12,7,,,
Sam Surridge,ENG,21,Premier League,45000,0.0,0,,,
Will Hughes,ENG,24,Premier League,14000000,0.08,9,,,
Giulio Donati,ITA,29,Serie A,80000,0.05,4,,,
Samir Santos,BRA,24,Serie A,3800000,0.06,3,,,
Mehdi LĂ©ris,FRA,21,Serie A,2000000,0.36,0,,,
Fabian Johnson,USA,31,Bundesliga,1000000,0.0,0,,,
MickaĂ«l Alphonse,GPE,30,Ligue 1,72500,0.07,2,,,
Carlo Pinsoglio,ITA,29,Serie A,40000,0.0,0,,,
Martin Kelly,ENG,29,Premier League,2000000,0.06,0,,,
Jarrad Branthwaite,ENG,17,Premier League,2000000,0.0,0,,,
Jean-Victor Makengo,FRA,21,Ligue 1,3000000,0.18,1,,,
Thomas Meunier,BEL,27,Ligue 1,24000000,0.07,3,,,
Youcef Attal,ALG,23,Ligue 1,20000000,0.18,5,,,
Angelo Ogbonna,ITA,31,Premier League,6000000,0.06,4,,,
George Hirst,ENG,20,Premier League,45000,0.0,0,,,
Ramon Azeez,NGA,26,La Liga,80000,0.13,3,,,
Efthimis Koulouris,GRE,23,Ligue 1,2000000,0.35,1,,,
Gerard PiquĂ©,ESP,32,La Liga,20000000,0.03,15,,,
Reiss Nelson,ENG,19,Premier League,12000000,0.14,1,,,
Ansu Fati,ESP,16,La Liga,80000000,0.7,3,,,
GastĂłn RamĂ­rez,URU,28,Serie A,6000000,0.5800000000000001,5,,,
GermĂˇn Pezzella,ARG,28,Serie A,14000000,0.13,12,,,
John Boye,GHA,32,Ligue 1,1000000,0.09,6,,,
Benjamin AndrĂ©,FRA,28,Ligue 1,8000000,0.13,6,,,
Thomas Strakosha,ALB,24,Serie A,20000000,0.0,2,,,
Jean-Kevin Duverne,FRA,22,Ligue 1,1000000,0.0,0,,,
Bram Nuytinck,NED,29,Serie A,2000000,0.0,2,,,
Nikola KaliniÄ‡,CRO,31,Serie A,5500000,0.9500000000000001,1,,,
GastĂłn Brugman,URU,26,Serie A,2000000,0.12,5,,,
KĂ©vin Rodrigues,POR,25,La Liga,2000000,0.14,7,,,
Billy Sharp,ENG,33,Premier League,1000000,0.43000000000000005,2,,,
Mihailo RistiÄ‡,SRB,23,Ligue 1,2000000,0.22,1,,,
RubĂ©n Rochina,ESP,28,La Liga,3000000,0.38,5,,,
Quentin Boisgard,FRA,22,Ligue 1,1000000,0.16,1,,,
JosĂ© Fonte,POR,35,Ligue 1,1000000,0.08,4,,,
Alexandre Mendy,GNB,25,Ligue 1,1000000,0.4,3,,,
Sergio Bermejo,ESP,21,La Liga,20000,0.0,0,,,
Ludovic Baal,GUF,33,Ligue 1,32500,0.0,1,,,
James Ward-Prowse,ENG,24,Premier League,14000000,0.21000000000000002,9,,,
Jamaal Lascelles,ENG,25,Premier League,14000000,0.04,5,,,
Konrad Laimer,AUT,22,Bundesliga,24000000,0.35,9,,,
RubĂ©n,ESP,35,La Liga,500,0.0,0,,,
Gonzalo Melero,ESP,25,La Liga,3000000,0.22,4,,,
Javi MartĂ­nez,ESP,19,La Liga,20000,0.0,0,,,
Bruno Martella,ITA,26,Serie A,1000000,0.0,3,,,
Luka Modric,CRO,33,La Liga,10000000,0.46,8,,,
Marcus Rashford,ENG,21,Premier League,64000000,0.82,3,,,
Christian Benteke,BEL,28,Premier League,10000000,0.21000000000000002,5,,,
